"[200,220,200,220,320,246]"	5	4	3
"[200,220,200,220,280,297]"	3	3	6
"[200,220,200,220,280,246]"	3	3	9
"[200,220,200,300,400,398]"	5	4	12
"[200,240,200,300,420,398]"	3	0	12
"[200,220,200,300,360,398]"	3	2	13
"[200,220,200,450,510,365]"	3	3	16
"[200,220,200,450,490,365]"	2	2	18
"[200,220,200,220,360,297]"	7	4	18
"[200,220,200,450,550,365]"	5	4	21
"[200,220,200,220,360,246]"	7	5	21
"[200,220,200,220,280,398]"	3	2	22
"[200,220,200,300,340,398]"	2	2	24
"[200,220,200,220,320,349]"	5	4	27
"[200,220,200,450,590,365]"	7	5	27
"[200,220,200,450,570,365]"	6	6	33
"[200,220,200,220,340,398]"	6	5	37
"[200,220,200,220,260,246]"	2	4	37
"[200,220,200,220,340,297]"	6	4	37
"[200,220,200,220,280,349]"	3	2	38
			
"[200,220,200,220,340,297]"	6	6	6
"[200,220,200,220,320,398]"	5	4	9
"[200,220,200,220,360,349]"	7	7	16
"[200,220,200,220,260,246]"	2	2	18
"[200,220,200,220,340,349]"	6	5	22
"[200,220,200,220,280,246]"	3	3	25
"[200,220,200,220,260,297]"	2	2	27
"[200,240,200,300,420,398]"	3	4	28
"[200,220,200,450,510,365]"	3	3	31
"[200,220,200,220,260,349]"	2	2	33
"[200,220,200,220,280,349]"	3	3	36
"[200,220,200,300,440,398]"	7	6	41
"[200,220,200,300,340,398]"	2	2	43
"[200,220,200,220,360,297]"	7	6	48
"[200,220,200,300,360,398]"	3	3	51
"[200,220,200,220,340,398]"	6	5	55
"[200,220,200,450,590,365]"	7	6	60
"[200,220,200,450,490,365]"	2	2	62
"[200,220,200,220,260,398]"	2	2	64
"[200,220,200,450,570,365]"	6	5	68
"[200,220,200,220,320,297]"	5	4	71
"[200,220,200,220,360,398]"	7	5	71
"[200,220,200,220,320,349]"	5	4	74
"[200,220,200,220,280,398]"	3	3	77
"[200,220,200,450,550,365]"	5	4	80
"[200,220,200,220,340,246]"	6	5	84
"[200,220,200,220,320,246]"	5	4	87
"[200,220,200,220,280,297]"	3	3	90
"[200,220,200,220,360,246]"	7	6	95
			
"[200,220,200,450,590,365]"	7	6	5
"[200,220,200,220,360,349]"	7	6	10
"[200,220,200,220,320,349]"	5	4	13
"[200,220,200,300,340,398]"	2	2	15
"[200,220,200,450,570,365]"	6	5	19
"[200,220,200,450,510,365]"	3	3	22
"[200,220,200,220,340,297]"	6	5	26
"[200,220,200,220,340,398]"	6	5	30
"[200,220,200,220,360,398]"	7	0	0
"[200,220,200,220,340,398]"	6	5	4
"[200,220,200,220,340,246]"	6	6	10
"[200,220,200,220,360,349]"	7	6	15
"[200,220,200,450,550,365]"	5	4	18
"[200,220,200,220,260,398]"	2	2	20
"[200,220,200,220,320,349]"	5	4	23
"[200,220,200,220,360,297]"	7	6	28
"[200,220,200,220,280,349]"	3	3	31
"[200,220,200,220,280,246]"	3	3	34
"[200,220,200,220,260,349]"	2	2	36
"[200,220,200,300,340,398]"	2	2	38
"[200,220,200,220,320,297]"	5	4	41
"[200,220,200,220,280,297]"	3	3	44
"[200,220,200,220,260,297]"	2	2	46
"[200,220,200,450,510,365]"	3	3	49
"[200,220,200,450,490,365]"	2	2	51
"[200,220,200,220,340,297]"	6	4	51
"[200,220,200,450,570,365]"	6	5	55
"[200,240,200,300,420,398]"	3	5	55
"[200,220,200,220,260,246]"	2	2	57
"[200,220,200,300,440,398]"	7	6	62
"[200,220,200,220,320,398]"	5	5	67
"[200,220,200,220,280,398]"	3	3	70
"[200,220,200,220,320,246]"	5	4	73
"[200,220,200,220,360,398]"	7	6	78
"[200,220,200,220,360,246]"	7	6	83
"[200,220,200,300,400,398]"	5	4	86
"[200,220,200,220,340,349]"	6	5	90
"[200,220,200,450,590,365]"	7	7	97
			
"[200,220,200,450,550,365]"	5	4	3
"[200,220,200,220,320,349]"	5	3	3
"[200,220,200,220,260,246]"	2	2	5
"[200,220,200,220,260,398]"	2	2	7
"[200,220,200,450,490,365]"	2	2	9
"[200,220,200,220,280,349]"	3	2	10
"[200,220,200,220,280,246]"	3	2	11
"[200,220,200,450,590,365]"	7	5	11
"[200,220,200,450,570,365]"	6	5	15
"[200,220,200,220,340,398]"	6	6	21
"[200,220,200,220,360,349]"	7	7	28
"[200,220,200,220,320,297]"	5	4	31
"[200,220,200,300,400,398]"	5	4	34
"[200,220,200,450,510,365]"	3	3	37
"[200,220,200,220,360,297]"	7	6	42
"[200,220,200,220,360,398]"	7	6	47
"[200,220,200,300,440,398]"	7	6	52
"[200,240,200,300,420,398]"	3	5	52
"[200,220,200,220,320,398]"	5	4	55
"[200,220,200,220,280,398]"	3	3	58
"[200,220,200,300,360,398]"	3	3	61
"[200,220,200,220,280,297]"	3	3	64
"[200,220,200,220,340,297]"	6	5	68
"[200,220,200,220,320,246]"	5	4	71
"[200,220,200,220,260,349]"	2	2	73
"[200,220,200,220,340,246]"	6	5	77
"[200,220,200,220,340,349]"	6	5	81
"[200,220,200,300,340,398]"	2	2	83
"[200,220,200,220,260,297]"	2	2	85
			
"[200,220,200,220,260,349]"	2	2	2
"[200,220,200,300,400,398]"	5	4	5
"[200,220,200,450,590,365]"	7	5	5
"[200,220,200,220,320,246]"	5	4	8
"[200,220,200,220,340,246]"	6	5	12
"[200,220,200,300,360,398]"	3	3	15
