
[200, 220, 200, 220, 260, 246]	2	4	 Score: 71
[200, 220, 200, 220, 300, 246]	4		 Score: 71
[200, 220, 200, 220, 320, 398]	5	4	 Score: 75
[200, 220, 200, 300, 400, 398]	5	4	 Score: 78
[200, 220, 200, 220, 280, 297]	3	5	 Score: 83
[200, 220, 200, 450, 570, 365]	6	3	 Score: 86
[200, 220, 200, 220, 260, 398]	2	6	 Score: 92
[200, 220, 200, 220, 340, 246]	6	2	 Score: 94
[200, 220, 200, 300, 340, 398]	2	6	 Score: 100
[200, 220, 200, 220, 340, 349]	6	2	 Score: 102
[200, 220, 200, 220, 280, 349]	3	5	 Score: 106
[200, 220, 200, 220, 320, 297]	5	4	 Score: 107
[200, 220, 200, 220, 300, 246]	4	0	 Score: 0
[200, 220, 200, 450, 490, 365]	2	4	 Score: 4
[200, 220, 200, 220, 340, 398]	6	2	 Score: 6
[200, 220, 200, 450, 570, 365]	6	6	 Score: 12
[200, 220, 200, 220, 360, 246]	7	5	 Score: 16
[200, 220, 200, 300, 380, 398]	4	6	 Score: 21
[200, 220, 200, 220, 360, 398]	7	5	 Score: 23
[200, 220, 200, 220, 300, 349]	4	8	 Score: 28
[200, 220, 200, 220, 360, 297]	7	6	 Score: 28
[200, 220, 200, 220, 320, 297]	5	6	 Score: 33
[200, 220, 200, 300, 360, 398]	3	5	 Score: 38
[200, 220, 200, 220, 320, 398]	5	4	 Score: 39
[200, 220, 200, 220, 260, 398]	2	4	 Score: 42
[200, 220, 200, 450, 530, 365]	4	2	 Score: 44
[200, 220, 200, 220, 260, 297]	2	4	 Score: 48
[200, 220, 200, 300, 440, 398]	7	2	 Score: 50
[200, 220, 200, 220, 320, 246]	5	6	 Score: 55
[200, 220, 200, 220, 340, 349]	6	5	 Score: 60
[200, 220, 200, 220, 280, 297]	3	6	 Score: 66
[200, 220, 200, 220, 340, 297]	6	4	 Score: 67
[200, 220, 200, 220, 280, 349]	3	5	 Score: 71
[200, 220, 200, 220, 300, 398]	4	4	 Score: 72
[200, 220, 200, 450, 510, 365]	3	4	 Score: 76
[200, 220, 200, 450, 550, 365]	5	3	 Score: 79
[200, 220, 200, 300, 400, 398]	5	4	 Score: 82
[200, 220, 200, 300, 420, 398]	6	5	 Score: 87
[200, 220, 200, 220, 360, 349]	7	6	 Score: 93
[200, 220, 200, 220, 280, 398]	3	7	 Score: 100
[200, 220, 200, 450, 590, 365]	7	3	 Score: 103
[200, 220, 200, 220, 320, 349]	5	8	 Score: 108
